#{"t_start": 1630088085.8697362, "env_id": null}
r,l,t
-36812.451716,300,117.350506
-263093.217254,300,117.785076
-1001522.224999,300,118.18698
-166230.556867,300,118.583002
-114508.593493,300,120.586144
-426809.505472,300,120.996814
-72719.088911,300,121.40246
-354279.590748,300,121.811293
-524398.559809,300,122.219932
-1141566.828269,300,122.620817
-170136.582885,300,123.026607
-112733.941521,300,125.02728
-323608.272065,300,125.43602
-1675452.107754,300,125.834332
-768744.869035,300,126.232814
-81382.901371,300,126.854388
-529569.344145,300,127.264729
-615639.126605,300,127.65754
-325032.311957,300,129.66259
-128988.897679,300,130.327423
-198432.168116,300,130.747517
-362522.462191,300,131.149499
-1907326.845793,300,131.537829
-1838289.635763,300,131.935314
-105428.35973,300,132.331854
-204069.861623,300,134.303898
-212107.044068,300,134.699792
-408690.538158,300,135.093246
-257491.220072,300,135.492947
-124807.582064,300,135.886678
-176661.50647,300,136.285039
-373485.116226,300,136.695365
-337121.777693,300,138.884258
-136336.591338,300,139.283282
-77435.142785,300,139.677664
-658895.881047,300,140.08616
-103627.538155,300,140.483862
-301555.99439,300,140.883624
-126736.309125,300,142.900727
-333883.17312,300,143.347108
-133718.512773,300,143.744281
-50769.202784,300,144.176976
-118554.745662,300,144.569391
-227542.96311,300,144.965624
-943956.67829,300,145.362287
-597814.804816,300,147.503721
-40247.275238,300,148.037944
-974174.235906,300,148.469581
-206424.262111,300,148.97971
-894247.39175,300,149.481004
-364780.340936,300,149.980962
-325374.044761,300,150.493777
-115224.652509,300,152.644147
-132169.023424,300,153.035013
-262166.860866,300,153.534867
-205711.963418,300,154.047641
-751704.034287,300,154.449842
-428231.598705,300,154.843489
-246851.024725,300,155.238227
-234600.295205,300,157.254889
-240017.198713,300,157.65038
-514508.503683,300,158.053708
-98447.864273,300,158.454025
-408362.187708,300,158.85362
-43630.227496,300,159.261311
-204777.726454,300,159.675023
-216410.894973,300,161.921299
-436517.280028,300,162.549253
-606039.0012,300,162.951526
-197228.256775,300,163.34532
-187054.508133,300,163.735682
-274676.335862,300,164.137589
-25545.034077,300,166.152314
-302539.782338,300,166.578903
-309194.833865,300,166.969512
-36213.566761,300,167.381397
-727011.609075,300,167.771183
-168698.464245,300,168.170265
-1270596.370443,300,168.584023
-413014.10454,300,170.6351
-96735.309848,300,171.036651
-184870.280111,300,171.449077
-679028.161737,300,171.845151
-1087224.33959,300,172.243725
-314282.07409,300,172.644022
-591096.180606,300,173.047956
-112762.32631,300,175.076995
-437149.205577,300,175.467602
-184137.247809,300,175.870221
-224889.891489,300,176.267045
-260720.533188,300,176.664307
-107041.927757,300,177.075915
-104786.562555,300,177.466604
-45489.187109,300,179.714196
-2408350.065841,300,180.109968
-87929.406784,300,180.51492
-45616.042348,300,180.995849
-38599.129551,300,181.416746
-38550.425175,300,181.82908
-2308492.474602,300,182.231517
-207812.539996,300,184.262828
-1179831.62779,300,184.677795
-112952.576987,300,185.077541
-608056.312232,300,185.478994
-101820.18682,300,185.885592
-196508.215052,300,186.303421
-45729.90408,300,186.961887
-84626.441617,300,189.1655
-226218.699927,300,189.568894
-822201.010341,300,189.964957
-332767.443503,300,190.36097
-203779.877511,300,190.770095
-87671.274197,300,191.165908
-142129.0552,300,193.194332
-348471.543321,300,193.593339
-53357.950145,300,194.00022
-201224.385847,300,194.400742
-82133.061988,300,194.810833
-282464.97664,300,195.217592
-270009.208217,300,195.617827
-163922.446589,300,197.704473
-350753.869597,300,198.116229
-196791.059431,300,198.514533
-246472.802425,300,198.909388
-2465744.988338,300,199.299731
-250650.557953,300,199.711719
-44671.104543,300,200.101424
-959136.827752,300,202.133862
-51611.416479,300,202.534834
-446999.113526,300,202.928715
-159354.872941,300,203.32046
-123861.836749,300,203.728776
-149064.415673,300,204.178697
-184407.016074,300,204.577702
-29041.34451,300,206.630933
-82367.816655,300,207.045368
-60008.774624,300,207.663089
-732587.286263,300,208.085277
-542302.929877,300,208.495937
-146966.447296,300,208.898303
-472512.353789,300,209.297967
-569042.317351,300,211.326609
-57306.603789,300,211.72026
-80671.922237,300,212.168955
-269887.917702,300,212.57919
-11638.854392,300,212.993476
-153765.216755,300,213.386618
-212711.923678,300,213.79776
-221649.082428,300,216.012812
-116857.025082,300,216.402078
-575353.374774,300,216.793699
-1360726.26024,300,217.237809
-244812.181034,300,217.647949
-1021907.926364,300,218.063794
-1347445.460988,300,220.093877
-52333.686584,300,220.495997
-1048588.240251,300,220.887052
-126768.035499,300,221.282851
-47806.264007,300,221.683353
-287419.908125,300,222.09181
-126676.969779,300,222.482563
-125548.579688,300,224.493742
-105410.353048,300,224.895256
-170498.119649,300,225.297865
-185931.502628,300,225.698282
-1013743.213289,300,226.102601
-64258.429504,300,226.499531
-102548.112969,300,226.896702
-31514.515467,300,228.947479
-92412.308953,300,229.343124
-232058.180323,300,229.736273
-847498.881253,300,230.161139
-136338.251877,300,230.564122
-1054108.809796,300,230.967464
-112688.888214,300,231.365892
-68012.461828,300,233.414781
-155412.105334,300,233.812755
-78175.421665,300,234.208471
-100286.903077,300,234.6098
-145506.20803,300,235.042858
-160344.539764,300,235.445734
-30910.657137,300,235.853423
-32315.608438,300,237.878034
-84792.720773,300,238.274906
-78116.107664,300,238.669053
-193943.999353,300,239.080043
-24980.919343,300,239.47727
-122733.572409,300,239.876995
-277075.247785,300,240.296423
-237957.578625,300,242.351987
-26964.057329,300,242.750806
-94160.37235,300,243.166819
-362971.689966,300,243.565069
-764537.836107,300,243.965174
-438857.287669,300,244.362504
-626514.257322,300,246.425956
-264775.599028,300,246.899681
-170574.430629,300,247.3262
-1730053.284064,300,247.800784
-86804.481667,300,248.212552
-196439.270602,300,248.613119
-133849.237625,300,249.019209
-200150.023174,300,251.043801
-168983.469044,300,251.43533
-463250.672516,300,251.832725
-136223.271494,300,252.248029
-107954.167728,300,252.644395
-1498820.910107,300,253.036328
-45399.051688,300,253.440858
-291086.752401,300,255.483685
-114971.624811,300,255.896762
-93789.938451,300,256.319763
-672742.070797,300,256.719723
-80182.193348,300,257.120145
-378062.98039,300,257.525109
-718635.951213,300,257.935766
-68793.943945,300,259.946218
-241709.685522,300,260.343086
-13797.008887,300,260.744967
-75283.414311,300,261.134562
-262505.198969,300,261.527595
-790927.921875,300,261.931463
-241491.867227,300,262.324512
-54559.229386,300,264.518963
-56868.339846,300,264.916516
-345204.930343,300,265.329106
-22048.433876,300,265.725783
-471199.330719,300,266.118915
-440467.842276,300,266.531262
-544035.037615,300,268.551575
-281082.767975,300,268.95491
-19349.193756,300,269.359734
-100862.853037,300,269.757751
-38627.723327,300,270.150324
-995901.858902,300,270.548598
-88051.752932,300,270.960272
-268979.066328,300,272.980806
-785239.685053,300,273.37485
-259454.900548,300,273.775256
-72180.44227,300,274.163826
-140766.11037,300,274.550862
-35488.684736,300,274.957703
-350149.419539,300,275.347927
-618734.969346,300,277.361523
-165006.110434,300,277.751394
-214375.650883,300,278.149794
-237981.40693,300,278.681144
-242397.062522,300,279.078184
-579163.03986,300,279.484139
-1907671.324503,300,279.880221
-22936.567053,300,281.965657
-161022.556269,300,282.374427
-690163.206859,300,282.767088
-71858.408944,300,283.163056
-310510.762588,300,283.562545
-150797.842718,300,283.968376
-316239.015305,300,284.365179
-121612.784584,300,286.551705
-41892.707539,300,287.043636
-136391.024436,300,287.442489
-182378.13275,300,287.83586
-332316.612724,300,288.246645
-412656.41498,300,288.645457
-693297.14784,300,289.041734
-421792.426554,300,291.211615
-190717.313081,300,291.615796
-1597915.852023,300,292.013873
-396861.325167,300,292.40833
-270303.740554,300,292.826682
-287274.809963,300,293.473653
-60002.324384,300,295.520872
-21363.848777,300,295.928828
-149539.236149,300,296.327703
-29249.857995,300,296.725642
-89634.939035,300,297.128669
-174652.745844,300,297.53911
-14152.622761,300,297.940716
-96188.703304,300,300.208309
-146722.285487,300,300.633412
-211128.810428,300,301.031198
-413256.257018,300,301.431637
-2766829.174326,300,301.968648
-539334.407557,300,302.37233
-236634.716796,300,302.76754
-67230.988675,300,304.933277
-155868.338304,300,305.615667
-114307.872448,300,306.083835
-243537.40762,300,306.482071
-189894.465031,300,306.891534
-1360464.313421,300,307.283229
-202368.637267,300,307.680695
-85053.316057,300,309.716245
-144561.70381,300,310.117287
-95418.281802,300,310.517782
-1401441.404802,300,310.918236
-818185.887498,300,311.327775
-191909.951684,300,311.728825
-38956.765542,300,312.128779
-385740.56264,300,314.176981
-184502.291911,300,314.575971
-190113.144684,300,314.974671
-11749.292554,300,315.380196
-39866.726887,300,315.779618
-41089.734915,300,316.178262
-30796.023609,300,316.577649
-556072.337976,300,318.609479
-59134.773506,300,319.00895
-239576.23921,300,319.406807
-212938.726486,300,319.875518
-21661.14582,300,320.528393
-396808.226705,300,320.927234
-56133.052034,300,322.957479
-196789.996686,300,323.358477
-44254.268471,300,323.759517
-65315.041193,300,324.158924
-215122.083513,300,324.694665
-16620.931284,300,325.240124
-43609.476241,300,325.640744
-420350.6205,300,327.666765
-566009.612041,300,328.067783
-244094.583315,300,328.494587
-125890.60794,300,328.90098
-14542.719769,300,329.311313
-595219.205373,300,329.712308
-14505.740384,300,330.113276
-602680.661102,300,332.275767
-46530.054832,300,332.851649
-186503.549281,300,333.256685
-129009.687433,300,333.66471
-103976.04477,300,334.065164
-109494.756348,300,334.465297
-268415.237879,300,334.875233
-626546.704127,300,337.013154
-149515.939921,300,337.413242
-143918.528165,300,337.812684
-180319.871142,300,338.224218
-84660.700551,300,338.623815
-326608.285976,300,339.02476
-61185.557157,300,339.432822
-212196.488483,300,341.467084
-123257.396943,300,341.877505
-30531.41561,300,342.362269
-121257.870037,300,342.773684
-273533.203906,300,343.174718
-14706.601174,300,343.576001
-992705.378577,300,343.993862
-66804.294697,300,346.111524
-127301.914951,300,346.511977
-187171.346853,300,346.939751
-339769.237269,300,347.340753
-165831.730335,300,347.741801
-65117.710051,300,348.161943
-40977.068288,300,350.233734
-476023.741441,300,350.634913
-362293.781407,300,351.043692
-134081.749194,300,351.460325
-34714.530472,300,351.860738
-163443.642062,300,352.263858
-131809.433306,300,352.677972
-140074.29777,300,354.706152
-696102.326245,300,355.109834
-245279.924855,300,355.523396
-49949.274915,300,355.923649
-129158.99276,300,356.323773
-148553.174864,300,356.724503
-17021.725744,300,357.143367
-269173.788321,300,359.168093
-120287.816646,300,359.563107
-137046.418029,300,359.973889
-29511.976363,300,360.372775
-222652.722432,300,360.766087
-306577.500839,300,361.180799
-159075.975934,300,361.578901
-136103.124601,300,363.596697
-116247.295944,300,363.99377
-60069.876825,300,364.429205
-54629.8864,300,364.89235
-160683.697552,300,365.291123
-10773.297828,300,365.698153
-122423.513493,300,366.099079
